# Simulation Log
# Model: Delay Equation Model
# Timestamp: 2025-10-23 20:12:06
# Parameters: 
#   {
#       "catchStockingRate": 0.5,
#       "catchability": 2.0,
#       "fishPrice": 7.0,
#       "fishingCost": 1.0,
#       "initialFishMarketStock": 0.1,
#       "initialFishStock": 0.4,
#       "initialHarvestingEffort": 0.4,
#       "reproductionRate": 1.0,
#       "simulationYears": 20,
#       "stepsPerYear": 100,
#       "stockReturnRate": 2.0
#   }
# 
Time_Year,Population_n,Effort_E,MarketStock_S
1.22000000,0.01518646,2.21541914,0.07962612
1.23000000,0.01466313,2.20676772,0.07837005
1.24000000,0.01416045,2.19793691,0.07712623
1.25000000,0.01367757,2.18893388,0.07589494
1.26000000,0.01321369,2.17976558,0.07467643
1.27000000,0.01276803,2.17043882,0.07347093
1.28000000,0.01233983,2.16096022,0.07227864
1.29000000,0.01192839,2.15133624,0.07109972
1.30000000,0.01153301,2.14157318,0.06993435
1.31000000,0.01115304,2.13167717,0.06878265
1.32000000,0.01078783,2.12165420,0.06764474
1.33000000,0.01043678,2.11151008,0.06652073
1.34000000,0.01009931,2.10125050,0.06541069
1.35000000,0.00977486,2.09088097,0.06431469
1.36000000,0.00946290,2.08040688,0.06323277
1.37000000,0.00916290,2.06983347,0.06216498
1.38000000,0.00887437,2.05916583,0.06111134
1.39000000,0.00859685,2.04840893,0.06007185
1.40000000,0.00832988,2.03756759,0.05904651
1.41000000,0.00807303,2.02664651,0.05803531
1.42000000,0.00782589,2.01565027,0.05703822
1.43000000,0.00758805,2.00458332,0.05605519
1.44000000,0.00735914,1.99344997,0.05508620
1.45000000,0.00713879,1.98225445,0.05413118
1.46000000,0.00692665,1.97100083,0.05319006
1.47000000,0.00672239,1.95969310,0.05226278
1.48000000,0.00652568,1.94833513,0.05134927
1.49000000,0.00633623,1.93693067,0.05044942
1.50000000,0.00615373,1.92548338,0.04956316
1.51000000,0.00597791,1.91399681,0.04869039
1.52000000,0.00580850,1.90247442,0.04783100
1.53000000,0.00564524,1.89091955,0.04698488
1.54000000,0.00548788,1.87933546,0.04615193
1.55000000,0.00533618,1.86772533,0.04533203
1.56000000,0.00518993,1.85609222,0.04452505
1.57000000,0.00504890,1.84443911,0.04373088
1.58000000,0.00491289,1.83276891,0.04294939
1.59000000,0.00478169,1.82108443,0.04218044
1.60000000,0.00465512,1.80938840,0.04142391
1.61000000,0.00453300,1.79768347,0.04067966
1.62000000,0.00441514,1.78597221,0.03994756
1.63000000,0.00430139,1.77425712,0.03922746
1.64000000,0.00419159,1.76254061,0.03851923
1.65000000,0.00408557,1.75082505,0.03782272
1.66000000,0.00398320,1.73911270,0.03713780
1.67000000,0.00388433,1.72740577,0.03646432
1.68000000,0.00378882,1.71570640,0.03580213
1.69000000,0.00369656,1.70401667,0.03515109
1.70000000,0.00360741,1.69233859,0.03451106
1.71000000,0.00352125,1.68067410,0.03388189
1.72000000,0.00343798,1.66902509,0.03326343
1.73000000,0.00335748,1.65739338,0.03265554
1.74000000,0.00327965,1.64578075,0.03205808
1.75000000,0.00320438,1.63418890,0.03147089
1.76000000,0.00313159,1.62261950,0.03089384
1.77000000,0.00306118,1.61107414,0.03032678
1.78000000,0.00299307,1.59955437,0.02976956
1.79000000,0.00292716,1.58806170,0.02922204
1.80000000,0.00286337,1.57659756,0.02868409
1.81000000,0.00280164,1.56516336,0.02815555
1.82000000,0.00274187,1.55376046,0.02763629
1.83000000,0.00268401,1.54239015,0.02712617
1.84000000,0.00262798,1.53105370,0.02662504
1.85000000,0.00257372,1.51975232,0.02613278
1.86000000,0.00252117,1.50848718,0.02564923
1.87000000,0.00247025,1.49725942,0.02517428
1.88000000,0.00242092,1.48607013,0.02470778
1.89000000,0.00237312,1.47492036,0.02424960
1.90000000,0.00232679,1.46381111,0.02379961
1.91000000,0.00228188,1.45274336,0.02335768
1.92000000,0.00223835,1.44171805,0.02292368
1.93000000,0.00219614,1.43073608,0.02249747
1.94000000,0.00215521,1.41979831,0.02207895
1.95000000,0.00211552,1.40890558,0.02166797
1.96000000,0.00207702,1.39805868,0.02126441
1.97000000,0.00203967,1.38725838,0.02086816
1.98000000,0.00200343,1.37650540,0.02047909
1.99000000,0.00196827,1.36580046,0.02009709
2.00000000,0.00193415,1.35514423,0.01972203
2.01000000,0.00190104,1.34453735,0.01935380
