Year,FishStock_tons
0,10000.00000000
1,9666.66666667
2,9546.29629630
3,9498.27817787
4,9478.44899372
5,9470.14837690
6,9466.65423042
7,9465.17993431
8,9464.55726955
9,9464.29418005
10,9464.18299956
11,9464.13601169
12,9464.11615273
13,9464.10775943
14,9464.10421202
15,9464.10271271
